order_id,order_date,customer_id,product_id,order_status,dispatch_date,delivery_date
1,2025-01-01,1001,501,Delivered,2025-01-02,2025-01-05
2,2025-01-02,1002,502,Delivered,2025-01-03,2025-01-04
3,2025-01-03,1003,503,Delivered,2025-01-04,2025-01-05
4,2025-01-04,1004,504,Delivered,2025-01-05,2025-01-09
5,2025-01-05,1005,601,Delivered,2025-01-06,2025-01-12
6,2025-01-06,1006,701,Delivered,2025-01-06,2025-01-07
7,2025-01-07,1007,505,Delivered,2025-01-08,2025-01-11
8,2025-01-08,1008,602,Delivered,2025-01-09,2025-01-16
9,2025-01-09,1009,706,Delivered,2025-01-09,2025-01-10
10,2025-01-10,1010,507,Delivered,2025-01-11,2025-01-16
11,2025-01-11,1011,603,Delivered,2025-01-12,2025-01-22
12,2025-01-12,1012,704,Delivered,2025-01-12,2025-01-13
13,2025-01-13,1013,506,Delivered,2025-01-14,2025-01-16
14,2025-01-14,1014,604,Delivered,2025-01-15,2025-01-23
15,2025-01-15,1015,702,Delivered,2025-01-16,2025-01-19
16,2025-01-16,1016,508,Delivered,2025-01-17,2025-01-21
17,2025-01-17,1017,605,Delivered,2025-01-18,2025-01-23
18,2025-01-18,1018,703,Delivered,2025-01-18,2025-01-20
19,2025-01-19,1019,510,Delivered,2025-01-20,2025-01-21
20,2025-01-20,1020,607,Delivered,2025-01-21,2025-01-28
21,2025-01-21,1021,705,Delivered,2025-01-22,2025-01-24
22,2025-01-22,1022,509,Delivered,2025-01-23,2025-01-27
23,2025-01-23,1023,608,Delivered,2025-01-24,2025-02-02
24,2025-01-24,1024,501,Delayed,2025-01-25,2025-02-03
25,2025-01-25,1025,602,Pending,,
